date,home_team,away_team,winner
1982-07-08,West Germany,France,West Germany
1986-06-21,Brazil,France,France
1986-06-21,West Germany,Mexico,West Germany
1986-06-22,Spain,Belgium,Belgium
1990-06-25,Republic of Ireland,Romania,Republic of Ireland
1990-06-30,Argentina,Yugoslavia,Argentina
1990-07-03,Argentina,Italy,Argentina
1990-07-04,West Germany,England,West Germany
1994-07-05,Mexico,Bulgaria,Bulgaria
1994-07-10,Romania,Sweden,Sweden
1994-07-17,Brazil,Italy,Brazil
1998-06-30,Argentina,England,Argentina
1998-07-03,Italy,France,France
1998-07-07,Brazil,Netherlands,Brazil
2002-06-16,Spain,Republic of Ireland,Spain
2002-06-22,Spain,South Korea,South Korea
2006-06-26,Switzerland,Ukraine,Ukraine
2006-06-30,Germany,Argentina,Germany
2006-07-01,England,Portugal,Portugal
2006-07-09,Italy,France,Italy
2010-06-29,Paraguay,Japan,Paraguay
2010-07-02,Uruguay,Ghana,Uruguay
2014-06-28,Brazil,Chile,Brazil
2014-06-29,Costa Rica,Greece,Costa Rica
2014-07-05,Netherlands,Costa Rica,Netherlands
2014-07-09,Netherlands,Argentina,Argentina
2018-07-01,Spain,Russia,Russia
2018-07-01,Croatia,Denmark,Croatia
2018-07-03,Colombia,England,England
2018-07-07,Russia,Croatia,Croatia
2022-12-05,Japan,Croatia,Croatia
2022-12-06,Morocco,Spain,Morocco
2022-12-09,Croatia,Brazil,Croatia
2022-12-09,Netherlands,Argentina,Argentina
2022-12-18,Argentina,France,Argentina
